,Words,Frequency
1155,"layers,",1
1156,marine,1
1157,larger,3
1158,"roughness,",1
1159,urgently,1
1160,Narasimha,1
1161,elle-m\xc4\x9bme.,1
1162,foregone.,1
1163,modelling.,1
1164,"Park,",3
1165,effective,4
1166,strongest,1
1167,destabilise,1
1168,40.2%,1
1169,200,1
1170,LISS-III,1
1171,terms,4
1172,highly,1
1173,shows,2
1174,fell,1
1175,modeling,2
1176,\xe2\x80\x9cbinomial,1
1177,source,2
1178,smooth-coated,2
1179,occurrence,3
1180,\xc3\xa9tude,1
1181,"(2010),",1
1182,'AbstractThis,1
1183,Venkateshwara,1
1184,regional,1
1185,average.,1
1186,"states,",1
1187,NP,1
1188,salinity,1
1189,"R.,",1
1190,"However,",5
1191,design,2
1192,serious,4
1193,available,2
1194,Both,2
1195,"profileChittagong,",1
1196,Haryana.,1
1197,typical,1
1198,various,1
1199,discharge.,1
1200,past.\xe2\x80\xa2Chronological,1
1201,Information,2
1202,communities,4
1203,postcoloniale,1
1204,located,1
1205,Re-measurement,1
1206,back,2
1207,tourisme,2
1208,r\xc3\xa9sultats,1
1209,emphasize,1
1210,completed,1
1211,terrain,1
1212,"forests,",1
1213,reprsentative:,1
1214,Count,1
1215,differences,1
1216,sufficiently,1
1217,focus,3
1218,mining,1
1219,landscapes.,1
1220,rivers.,2
1221,d\xe2\x80\x99interpr\xc3\xa9ter,1
1222,markedly,1
1223,claim,1
1224,"wildlife,",1
1225,positive,1
1226,potential,10
1227,'Highlights\xe2\x80\xa2First,1
1228,into,7
1229,'AbstractInvasion,1
1230,livelihoods.,1
1231,edge',1
1232,quality,1
1233,higher-elevation,1
1234,variables,5
1235,sound,1
1236,agreement,1
1237,245\xe2\x80\x93251;,1
1238,non-fuel,1
1239,"Inland,",1
1240,"contrast,",2
1241,Biodiversity,1
1242,truthing.,1
1243,late,1
1244,season),1
1245,AWiFS,4
1246,(AWiFS),1
1247,conflict.,1
1248,Eurasian,2
1249,thousand,2
1250,generated,6
1251,February,3
1252,tree,2
1253,This,11
1254,framework.,2
1255,En,1
1256,dynamics.\xe2\x80\xa2FOS,1
1257,extreme,1
1258,sustainable,1
1259,as,33
1260,sections,1
1261,model's,1
1262,invasion,3
1263,combine,1
1264,criticized,1
1265,20%,1
1266,https://www.sciencedirect.com/science/article/pii/S0899536298000281,1
1267,day,3
1268,attention.',1
1269,ArticleConservation,1
1270,date.,1
1271,movements.,1
1272,determine,1
1273,campaigns,1
1274,global,1
1275,Papikonda,1
1276,FOS,1
1277,2123\xe2\x80\x932139.,1
1278,direct,1
1279,"it,",1
1280,overlaid,1
1281,69%,1
1282,established,1
1283,conflicts.',1
1284,ease,1
1285,per,5
1286,brings,1
1287,on,17
1288,patches,1
1289,N,2
1290,(FVCOM),1
1291,validating,1
1292,encouraged,1
1293,reservoirs,1
1294,98%.,1
1295,predicted,5
1296,Strong,1
1297,Ray',1
1298,canopy.,1
1299,extraction,5
1300,towards,1
1301,'Srikonda',1
1302,support,1
1303,growth,3
1304,biodiverse,1
1305,(Panthera,1
1306,maps,2
1307,widespread,1
1308,prioritizes,1
1309,study,25
1310,lower,1
1311,2390\xc2\xa0km2,1
1312,trends,2
1313,Sothern,1
1314,designation,1
1315,"challenges,",1
1316,Image',1
1317,Its,1
1318,`cutting,1
1319,dimensional,1
1320,being,1
1321,protect,1
1322,MaxEnt,5
1323,"Furthermore,",1
1324,P.,5
1325,biosecurity,1
1326,need,4
1327,"organizations,",1
1328,(TRP).,1
1329,eco,1
1330,perspectives',1
1331,vary,1
1332,sensor.,1
1333,investigate,1
1334,considered,1
1335,flora,1
1336,threat,5
1337,organized,1
1338,https://www.sciencedirect.com/science/article/pii/S2212609015000102,1
1339,the,267
1340,entre,1
1341,54\xe2\x80\xb3,1
1342,Arguments,1
1343,integrity.',1
1344,pits,1
1345,Evaluation,1
1346,(DMSP-OLS,1
1347,recorded.,1
1348,Abstract:,23
1349,"region,",1
1350,or,1
1351,characterized,1
1352,"stations,",1
1353,negatively,1
1354,So,1
1355,grassland,2
1356,conservation.,1
1357,lung,1
1358,"Bengal,",1
1359,secondary,1
1360,validated,3
1361,empirical,1
1362,"rearrangement,",1
1363,western,1
1364,impact,2
1365,Resources,1
1366,West,1
1367,inconvenience,1
1368,(17\xc2\xb0,1
1369,intrinsic,2
1370,'Highlights\xe2\x80\xa2Classified,1
1371,incurred,2
1372,hospital,1
1373,organize,1
1374,causes,4
1375,education,1
1376,sensitivity,1
1377,spread,1
1378,'Predicting,1
1379,maintenance,1
1380,'Lucy,1
1381,Vijayawada,4
1382,'Nazimur,1
1383,contingent,1
1384,assessing,1
1385,rule,1
1386,attitude,1
1387,\xe2\x88\xbc\xc2\xa010:30\xc2\xa0am,1
1388,conservation.',1
1389,diff\xc3\xa9rences,1
1390,Microbiological,1
1391,created,2
1392,elaborate,1
1393,competition.The,1
1394,foregone,1
1395,mangroves,1
1396,years.\xe2\x80\xa2Small-scale,1
1397,spaces,1
1398,covering,3
1399,problems,3
1400,Parks,1
1401,connects,1
1402,coldest,2
1403,plants,2
1404,Thus,1
1405,advance,1
1406,extinction,1
1407,nine,1
1408,dense,3
1409,distant.,1
1410,5.5\xe2\x80\x9317\xc2\xa0million,1
1411,holding,2
1412,quarters,1
1413,endemic,6
1414,preferred,3
1415,6003,1
1416,observes,1
1417,Valley,1
1418,"worldwide,",1
1419,`ground,1
1420,20,1
1421,competitor,1
1422,observational,3
1423,'Highlights\xe2\x80\xa2Chittagong,1
1424,occurrences.\xe2\x80\xa2Predicted,1
1425,if,2
1426,Western,9
1427,values,2
1428,"167(10),",1
1429,partially,1
1430,American,1
1431,hillocks,1
1432,"Agency,",1
1433,Targets.AbstractTourism,1
1434,became,1
1435,risk,3
1436,10\xc2\xa0cm,1
1437,imperial,2
1438,Bangladesh.,1
1439,whereas,1
1440,precise,6
1441,'This,1
1442,explore,1
1443,degradation,7
1444,like,3
1445,pit,1
1446,satellite,4
1447,Pradesh,1
1448,corridors,2
1449,assessed,1
1450,gouvernement,1
1451,"management,",1
1452,augmentation,1
1453,community,5
1454,"observations,",1
1455,Bengal,1
1456,native,1
1457,soldiers\xe2\x80\x99,1
1458,carried,3
1459,Comparison,2
1460,https://www.sciencedirect.com/science/article/pii/S0168169914000428,1
1461,deforested,1
1462,indicating,1
1463,common,1
1464,Current,2
1465,"26(12),",1
1466,highlights,3
1467,types,4
1468,examples,1
1469,household,2
1470,Les,1
1471,conflict,2
1472,endangered,2
1473,'Evaluation,1
1474,"proportion,",1
1475,analyze,1
1476,"landscape,",1
1477,\xe2\x80\x98Mabuya\xe2\x80\x99,2
1478,Precipitation,3
1479,wider,2
1480,https://www.sciencedirect.com/science/article/pii/S0921800904004045,1
1481,attracting,1
1482,conclude,1
1483,overcome,1
1484,Dynamics,1
1485,accumulated,1
1486,ecosystems.,1
1487,significance,2
1488,system,2
1489,ocean,1
1490,https://www.sciencedirect.com/science/article/pii/S0305748811001058,1
1491,development,5
1492,herbivores,1
1493,subjects\xe2\x80\x99,1
1494,episode,1
1495,https://www.sciencedirect.com/science/article/pii/S0272771416303791,1
1496,had,2
1497,useful,2
1498,models,2
1499,First,1
1500,`India,1
1501,conflicting,2
1502,55%,1
1503,were,29
1504,"forest,",1
1505,(DMSP-OLS),1
1506,pour,1
1507,3D,1
1508,Eastern,4
1509,00\xe2\x80\xb3,1
1510,dispersal,2
1511,temperature,1
1512,relationships,1
1513,sensors,1
1514,colonial,3
1515,us,1
1516,'Highlights\xe2\x80\xa2Estimates,1
1517,processes,1
1518,variables',1
1519,For,1
1520,GPS,1
1521,industrialised,1
1522,"involved,",1
1523,corporations.,1
1524,mammals,1
1525,species,19
1526,regarding,1
1527,critique,1
1528,assessment,2
1529,dental,1
1530,Rhinoceros,1
1531,continuation,2
1532,Pest,1
1533,configured,1
1534,rich,3
1535,governance,1
1536,five,1
1537,linkage,1
1538,(or,1
1539,extensive,1
1540,seasonal,2
1541,Elsevier,1
1542,live,1
1543,invasive,8
1544,eight,2
1545,comprendre,1
1546,Protected,1
1547,Since,1
1548,must,2
1549,A,2
1550,aims,1
1551,external,4
1552,lost.,1
1553,accurate,1
1554,location,2
1555,continuous,1
1556,ecology,3
1557,time,2
1558,Addressing,1
1559,10.5%,1
1560,'Sunil',1
1561,should,2
1562,Phenacoccus,1
1563,initial,2
1564,profile,1
1565,multidimensional,1
1566,using,13
1567,sand,1
1568,based,5
1569,green,1
1570,anthropogenic,4
1571,range,4
1572,expressed,1
1573,sparking,1
1574,institutional,2
1575,classes.\xe2\x80\xa2Human,1
1576,molecular,2
1577,"world,",1
1578,products.,1
1579,35.9%,1
1580,possibly,1
1581,maintaining,1
1582,'Arpita',1
1583,40\xe2\x80\xb2,1
1584,Ecosystem,1
1585,hotspots.\xe2\x80\xa2The,1
1586,(MODIS),1
1587,"inland,",1
1588,"time,",1
1589,those,4
1590,cycle,1
1591,percentages,1
1592,wounded,1
1593,needed,1
1594,may,3
1595,daily,1
1596,implications.Graphical,1
1597,"""Highlights\xe2\x80\xa2Strategies",1
1598,Data,2
1599,concerted,1
1600,thus,1
1601,respondents,1
1602,more,3
1603,pressure.,1
1604,March\xe2\x80\x93April;,1
1605,nuclear,3
1606,id\xc3\xa9ologiques,1
1607,nationalism.,1
1608,ameliorative,1
1609,of,245
1610,Components,1
1611,(BMLR)\xe2\x80\x9d,1
1612,transition,3
1613,measures.,1
1614,these,13
1615,There,1
1616,"practices,",1
1617,possible,2
1618,100,2
1619,consensus,1
1620,"extracted,",1
1621,increasingly,1
1622,persisting,1
1623,busiest,2
1624,Third,1
1625,monitoring,4
1626,strengthen,2
1627,improve,1
1628,"Unfortunately,",1
1629,spatial,7
1630,affecting,1
1631,"change,",1
1632,estimated,2
1633,effective.\xe2\x80\xa2Key,1
1634,used,15
1635,spending,1
1636,"ecology',",1
1637,https://www.sciencedirect.com/science/article/pii/S0925857416301562,1
1638,edge,1
1639,"prioritization,",1
1640,annual,3
1641,any,2
1642,necessary,1
1643,shelf,1
1644,1978\xe2\x80\x932016.\xe2\x80\xa2There,1
1645,done,1
1646,irrecoverable,1
1647,future',1
1648,most,11
1649,'Conservation,1
1650,managerial,1
1651,level,10
1652,Sauvalle,1
1653,presents,1
1654,"mining,",2
1655,accuracy,3
1656,"management.""",1
1657,cycle.FVCOM,1
1658,addition,1
1659,compared,4
1660,lacunas,1
1661,"strong,",1
1662,Zimbabwe,1
1663,conditions.,1
1664,pest,7
1665,resource,1
1666,primary,2
1667,An,4
1668,humandays,1
1669,destinations.',1
1670,metal,1
1671,approach',1
1672,developments,1
1673,lands,1
1674,non-legislative,1
1675,corporations.\xe2\x80\xa2The,1
1676,'Representative,1
1677,basis,1
1678,evolutionary,1
1679,provides,6
1680,"biodiversity,",1
1681,annum,1
1682,impoverished,1
1683,resistance,1
1684,These,2
1685,Andhra,3
1686,and,207
1687,rise,3
1688,`local,1
1689,otter,13
1690,despite,1
1691,guide,1
1692,aspiring,1
1693,plot,1
1694,best,2
1695,annually,1
1696,map.',1
1697,constituents,1
1698,"bathymetry,",1
1699,imagery,1
1700,Fire,1
1701,98%,1
1702,bioclimatic,1
1703,illegally,1
1704,involving,1
1705,"9(3),",1
1706,adjacent,1
1707,Science,1
1708,"Subramani,",1
1709,poor.\xe2\x80\xa2Traditional,1
1710,debate.,1
1711,records,1
1712,issues;,1
1713,It,3
1714,improved,1
1715,(values,1
1716,deciduous,3
1717,distribution,7
1718,"initiated,",1
1719,ecosystems:,1
1720,categorized,1
1721,overview,1
1722,Mudumalai,1
1723,level;,1
1724,please,1
1725,populations,2
1726,"elephants,",1
1727,arrangement,1
1728,Scattered,1
1729,functions,1
1730,souvent,1
1731,distinctive,1
1732,assumed,1
1733,Mapping,1
1734,performance,1
1735,substantial,2
1736,modelling.AbstractLong,1
1737,nationally,1
1738,Rajiv,1
1739,tactics.',1
1740,metabolites:,1
1741,purpose,1
1742,grassland',1
1743,within,11
1744,'Fernando',1
1745,Tiger,5
1746,districts),1
1747,"population,",2
1748,Smithsonian,1
1749,supervision,1
1750,17\xc2\xb0,1
1751,confined,1
1752,"protest,",1
1753,leakages.,1
1754,chosen,1
1755,images,2
1756,insight,1
1757,connectivity,2
1758,configuration,1
1759,shift,2
1760,"""AbstractThe",1
1761,\xc5\x93il,1
1762,provide,4
1763,maintained,1
1764,moist,1
1765,mineral,2
1766,Ghats.,2
1767,cultivated,2
1768,greatest,1
1769,actinomycetes.,1
1770,introduction,2
1771,production,2
1772,"days,",1
1773,grant-aided,1
1774,https://www.sciencedirect.com/science/article/pii/S2214790X16302374,1
1775,years.,1
1776,delta,5
1777,Defense,2
1778,discharge,1
1779,steps,1
1780,I',1
1781,Analysis,1
1782,l\xe2\x80\x99Inde.,2
1783,discussed.\xe2\x80\xa2Economic,1
1784,tourism,7
1785,https://www.sciencedirect.com/science/article/pii/S1872203215300196,1
1786,perverse,1
1787,features.,1
1788,lead,1
1789,"Karnataka,",1
1790,https://www.sciencedirect.com/science/article/pii/S0925857416304694,1
1791,'Highlights\xe2\x80\xa2Institutional,1
1792,holdings,1
1793,heat,1
1794,recent,2
1795,prone,1
1796,contribution,1
1797,community?',1
1798,industrial,1
1799,cases,1
1800,selecting,2
1801,surge,1
1802,establish,1
1803,am\xc3\xa9ricains,1
1804,enumeration,1
1805,apprised,1
1806,caused,3
1807,net,4
1808,strategies,3
1809,when,2
1810,Wide,1
1811,Indian,24
1812,'AnalysisThe,1
1813,how,2
1814,biodiversity.,1
1815,river,8
1816,'Anthropogenic,1
1817,conserving,3
1818,hydrodynamics,2
1819,signs,1
1820,hydrodynamic,2
1821,"data,",1
1822,May,3
1823,thousands,1
1824,&,2
1825,baroclinic,2
1826,agriculture,1
1827,toward,1
1828,maximum,2
1829,micrantha,2
1830,"2001,",1
1831,coloniale,1
1832,dry,5
1833,manage,1
1834,est,3
1835,25th,1
1836,by,30
1837,channel,1
1838,federal,1
1839,findings,2
1840,India\xe2\x80\x99,1
1841,protected,10
1842,leading,1
1843,lakes,1
1844,'RETRACTED:,1
1845,comment,1
1846,burnt,3
1847,concludes,2
1848,fire,15
1849,Geographic,1
1850,shortcomings,1
1851,(19.5\xe2\x80\x9320.1%).,1
1852,first,3
1853,notes,5
1854,spend,1
1855,ont,1
1856,environmental,14
1857,occurrence.,2
1858,entropy,1
1859,"Rajasthan,",1
1860,along,1
1861,novel,3
1862,such,4
1863,volume,1
1864,groups,2
1865,dissonance,2
1866,(Squamata:,1
1867,NPVs,2
1868,"Presently,",1
1869,evaluated,2
1870,Gandhi,1
1871,habitat,15
1872,benefit,2
1873,define,1
1874,northeastern,1
1875,concept,1
1876,animal's,1
1877,lying,1
1878,m\xc3\xa9diatiques.,1
1879,plant,4
1880,excellent,1
1881,this,18
1882,key,1
1883,condition,1
1884,truths',1
1885,request,1
1886,Planet,1
1887,'AbstractFrom,1
1888,L\xe2\x80\x99image,1
1889,duration,1
1890,holdings.,1
1891,side,2
1892,hotspot,3
1893,Withdrawal,1
1894,active,1
1895,documented,1
1896,par,1
1897,ability,1
1898,repr\xc3\xa9sentative,1
1899,control,2
1900,future,8
1901,compiled,1
1902,challenges,2
1903,'City,1
1904,willing,2
1905,retracted,1
1906,monitored,1
1907,2001,1
1908,'Using,1
1909,developed,1
1910,Ecodevelopment'.,1
1911,et,4
1912,levels,3
1913,features,1
1914,soldiers,1
1915,"topographic,",1
1916,Sahyadri,1
1917,950\xc2\xa0m.,1
1918,Among,1
1919,related,1
1920,itself.,1
1921,'Aniruddha',1
1922,Eutropis.,4
1923,\xe2\x96\xba,3
1924,least,3
1925,million,1
1926,Research,1
1927,combination,1
1928,resources',1
1929,only,1
1930,detection,1
1931,Linear,3
1932,benefits,8
1933,revealed,2
1934,acute,1
1935,"India,",5
1936,proceed,1
1937,immense,2
1938,designing,1
1939,"endowments,",1
1940,Sensor,1
1941,digital,1
1942,show,1
1943,tall,2
1944,tides,1
1945,one-km,1
1946,closely,1
1947,identified,7
1948,foreign,2
1949,total,6
1950,area,14
1951,accessibility,1
1952,boasts,1
1953,https://www.sciencedirect.com/science/article/pii/S0378112713004180,1
1954,made,1
1955,"benefits,",1
1956,250\xc2\xa0km,1
1957,"regularly,",1
1958,articleEcological,1
1959,dynamics,2
1960,concerns,1
1961,will,4
1962,ones,1
1963,"cultivation,",1
1964,obtained,1
1965,surrounding,2
1966,Majority,1
1967,Facility,1
1968,three,4
1969,`global,2
1970,group,2
1971,particularly,1
1972,prism,1
1973,architectural,1
1974,"resources,",1
1975,15%,1
1976,policymakers.,1
1977,pr\xc3\xa9sent\xc3\xa9e,1
1978,it,6
1979,require,1
1980,Our,4
1981,demand,1
1982,DMSP-OLS,9
1983,soi-m\xc4\x9bme,1
1984,extend,1
1985,"geometry,",1
1986,images.R\xc3\xa9sum\xc3\xa9Dissonance,1
1987,coverage,2
1988,discusses,1
1989,come,1
1990,Programme,1
1991,wait,1
1992,estimates,1
1993,integrity,3
1994,season,1
1995,representations,2
1996,"ago,",1
1997,institution,1
1998,tigers.,1
1999,management.,1
2000,commenc\xc3\xa9,1
2001,one,2
2002,"Ghats,",3
2003,staffs,1
2004,trend,1
2005,acre,1
2006,falls,1
2007,radiation,2
2008,part,6
2009,coastal,2
2010,deforestation,9
2011,\xc3\xa9tant,1
2012,la,4
2013,radiation.,2
2014,AUC\xc2\xa0>\xc2\xa00.99.,1
2015,Brighton,1
2016,hill,1
2017,environment,1
2018,taking,1
2019,areas',1
2020,diplotricha,2
2021,contexts.,1
2022,represents,2
2023,We,14
2024,http://pest.ceris.purdue.edu/).,1
2025,ecosystems,1
2026,role,3
2027,days,2
2028,agency,1
2029,review,1
2030,under,4
2031,situation.',1
2032,160.48\xc2\xa0km2,1
2033,Chittagong,2
2034,"southeast,",1
2035,distribution.,1
2036,implications,1
2037,results,5
2038,dating,1
2039,Meteorological,2
2040,just,1
2041,(GIS),1
2042,W.,1
2043,required,2
2044,evaluate,2
2045,Himalayan,2
2046,use.,2
2047,day.,1
2048,Orang,1
2049,According,2
2050,recommend,1
2051,deux,1
2052,tropical,7
2053,supported,1
2054,"2014,",1
2055,efficacious,1
2056,District-level,1
2057,Pavilion,1
2058,empire,1
2059,social,1
2060,whether,1
2061,Kondapalli,1
2062,Reserve,1
2063,section,1
2064,tide,2
2065,(SE),1
2066,while,5
2067,le,1
2068,Past,1
2069,investment,1
2070,implications.,1
2071,Citing,1
2072,provided,3
2073,tigris),1
2074,"Gujarat,",1
2075,explicit,2
2076,data,10
2077,manual,1
2078,associated,2
2079,activities,1
2080,tidal,9
2081,improvements,1
2082,assist,1
2083,"case,",1
2084,https://www.sciencedirect.com/science/article/pii/S026151771730239X,1
2085,both,5
2086,varieties,1
2087,Himalaya.\xe2\x80\xa2Multiple,1
2088,decentralization,1
2089,limited,2
2090,cotton,4
2091,from,46
2092,happens,1
2093,simulate,1
2094,ways,2
2095,term,1
2096,ranges,2
2097,argue,1
2098,calculated,1
2099,quarter,1
2100,increase,4
2101,problem,2
2102,simulated,1
2103,early,2
2104,Inventory,1
2105,intervention,4
2106,nationalisme,1
2107,conservation,16
2108,timescales,1
2109,"War,",1
2110,area.,4
2111,economics,2
2112,operating,1
2113,oversight,1
2114,research.',1
2115,qualitative,1
2116,pests.AbstractInsect,1
2117,contain,1
2118,discuss,2
2119,'Panchanathan',1
2120,matched,1
2121,(Hemiptera:,1
2122,reflect,1
2123,primitiveness,1
2124,species.,1
2125,(HSI).,1
2126,'AbstractUnderstanding,1
2127,structure,3
2128,international,3
2129,indicate,1
2130,it's,1
2131,coffee,7
2132,past,2
2133,missions,1
2134,see,1
2135,otters,2
2136,local,12
2137,cynodonts,1
2138,gomphodont,1
2139,reserve.,1
2140,collected,1
2141,northwestern,1
2142,British,2
2143,'Tidal,1
2144,sites,6
2145,whose,1
2146,"particular,",1
2147,projects,2
2148,"Maharashtra,",1
2149,'Zoe',1
2150,09\xe2\x80\xb3,1
2151,Authors,1
2152,urban,4
2153,106,1
2154,near,1
2155,crucial,2
2156,mangrove,7
2157,participatory,3
2158,consistent,1
2159,home,1
2160,India\xe2\x80\x99s,2
2161,create,1
2162,modelling,6
2163,some,11
2164,worst,1
2165,England.,1
2166,Nagarjunasagar,1
2167,habitats,4
2168,Krishna-Guntur,1
2169,sampling,1
2170,metabolites,1
2171,an,21
2172,Nagarhole,2
2173,raised,1
2174,which,9
2175,interventions,1
2176,enabling,1
2177,mainstreaming,1
2178,Royal,1
2179,deep,3
2180,They,1
2181,measures.',1
2182,vulnerability.,1
2183,combined,2
2184,two,8
2185,Permanent,1
2186,change:,1
2187,frontline,1
2188,degraded;,1
2189,proposed,2
2190,ensuring,1
2191,scientific,1
2192,evaluates,1
2193,Himalaya,1
2194,media,3
2195,qui,2
2196,PCA,1
2197,genes,1
2198,Rahman',1
2199,metallic,1
2200,representing,1
2201,apologize,1
2202,Nightly,1
2203,can,11
2204,regression,1
2205,privacy,1
2206,almost,1
2207,herpetofauna,1
2208,(Aonyx,1
2209,during,5
2210,"activities,",1
2211,used.\xe2\x80\xa2Ecosystem,1
2212,try,1
2213,AUC,1
2214,warmest,1
2215,IRRs,3
2216,'T.R.',1
2217,'AbstractDuring,1
2218,"delta,",1
2219,19.2%,1
2220,'Phylogeny,1
2221,E),1
2222,authority,1
2223,giving,1
2224,populations;,1
2225,53\xe2\x80\xb2,1
2226,'Monitoring,1
2227,discussions,1
2228,pine,2
2229,disturbed,2
2230,landscapes.AbstractThis,1
2231,applied,1
2232,Bangladesh',1
2233,stakeholder,1
2234,existing,4
2235,widely,2
2236,Aichi,1
2237,https://www.sciencedirect.com/science/article/pii/S1055790312000759,1
2238,shoreline,1
2239,also,13
2240,circumtropical,1
2241,ces,3
2242,captures,1
2243,typically,1
